dmf,therapeutic_class,country,year
MF 032531,Central Nervous System Agents,India,2018
MF 033522,Anticonvulsants,India,2019
MF 022485,Anticonvulsants,India,2009
MF 031415,Central Nervous System Agents,India,2017
MF 030887,,China,2016
MF 034583,,India,2020
MF 036307,,Italy,2021
MF 021410,Antimigraine Agents,India,2008
MF 016558,Anticonvulsants,Taiwan,2003
MF 021880,Metabolic Bone Disease Agents,Taiwan,2008
MF 028386,Antifungals,China,2014
MF 029027,Genitourinary Agents,India,2015
MF 029765,Respiratory Tract/Pulmonary Agents,India,2015
MF 033012,Respiratory Tract/Pulmonary Agents,China,2018
MF 030608,Sexual Disorder Agents,India,2016
MF 024590,Sexual Disorder Agents,Poland,2011
MF 027246,Genitourinary Agents,India,2013
MF 030860,Sexual Disorder Agents,China,2016
MF 026139,Sexual Disorder Agents,India,2013
MF 026139,Respiratory Tract/Pulmonary Agents,India,2013
MF 025815,Genitourinary Agents,India,2012
MF 030288,Cardiovascular Agents,India,2016
MF 025875,Gastrointestinal Agents,Spain,2012
MF 030725,Antibacterials,Spain,2016
MF 032811,Antibacterials,China,2018
MF 032811,Antimycobacterials,China,2018
MF 027287,Antipsychotics,India,2013
MF 024394,Antipsychotics,India,2011
MF 023129,Antipsychotics,India,2009
MF 015758,,United Kingdom,2001
MF 032438,,India,2018
MF 017166,Analgesics,Switzerland,2004
MF 021679,Analgesics,India,2008
MF 032683,,India,2018
MF 035225,Dental and Oral Agents,Italy,2020
MF 034977,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",China,2020
MF 018777,,India,2005
MF 016038,Immunological Agents,Taiwan,2002
MF 033057,Antineoplastics,China,2018
MF 021038,,India,2007
MF 030116,,United States,2016
MF 024503,,India,2010
MF 029035,,Canada,2015
MF 034252,,Italy,2019
MF 015770,Antidepressants,Spain,2001
MF 019746,,India,2006
MF 026200,,Spain,2012
MF 035304,,India,2020
MF 030486,,India,2016
MF 032154,Dermatological Agents,India,2017
MF 019267,Bipolar Agents,India,2006
MF 025605,Bipolar Agents,China,2011
MF 021446,Antipsychotics,India,2008
MF 035794,Antidepressants,India,2021
MF 035606,Antidepressants,India,2021
MF 020299,Cardiovascular Agents,India,2007
MF 032335,Blood Glucose Regulators,India,2017
MF 035351,Blood Glucose Regulators,India,2020
MF 032064,Ophthalmic Agents,France,2019
MF 022931,,Mexico,2009
MF 018762,,India,2005
MF 020400,Cardiovascular Agents,India,2007
MF 018828,Cardiovascular Agents,India,2005
MF 030102,Antipsychotics,India,2015
MF 014987,Cardiovascular Agents,India,2000
MF 022505,"Hormonal Agents, Suppressant (Pituitary)",India,2009
MF 024416,"Hormonal Agents, Suppressant (Pituitary)",France,2011
MF 027979,,France,2014
MF 032838,,France,2018
MF 031611,,India,2017
MF 023115,,India,2009
MF 030512,Cardiovascular Agents,United States,2016
MF 033073,Ophthalmic Agents,China,2018
MF 033073,Otic Agents,China,2018
MF 030373,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",France,2016
MF 031349,Antibacterials,India,2017
MF 036074,Dermatological Agents,China,2021
MF 035222,Antivirals,China,2020
MF 028500,Inflammatory Bowel Disease Agents,China,2014
MF 016089,Ophthalmic Agents,Jordan,2002
MF 016089,Anesthetics,Jordan,2002
MF 015511,,China,2001
MF 027483,,India,2013
MF 025512,,Germany,2011
MF 032769,,United States,2018
MF 032146,,India,2017
MF 035861,Respiratory Tract/Pulmonary Agents,India,2021
MF 014698,Respiratory Tract/Pulmonary Agents,India,2000
MF 032234,Contraceptives,Italy,2017
MF 032299,Antibacterials,Italy,2017
MF 027419,,India,2013
MF 024386,,Germany,2011
MF 018562,,Italy,2005
MF 019555,Gastrointestinal Agents,India,2006
MF 025152,Antibacterials,India,2011
MF 022663,Antibacterials,India,2009
MF 021988,Antibacterials,India,2009
MF 019310,Antibacterials,Spain,2006
MF 020873,Gastrointestinal Agents,India,2007
MF 032851,Respiratory Tract/Pulmonary Agents,India,2018
MF 028657,Respiratory Tract/Pulmonary Agents,India,2014
MF 019657,Blood Products and Modifiers,China,2006
MF 019657,Analgesics,China,2006
MF 033659,Analgesics,China,2019
MF 031951,Blood Glucose Regulators,India,2017
MF 031909,,China,2017
MF 025821,,China,2012
MF 029165,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Italy,2015
MF 022547,Electrolytes/Minerals/Metals/Vitamins,India,2009
MF 024579,,Switzerland,2011
MF 030820,,India,2016
MF 030820,Inflammatory Bowel Disease Agents,India,2016
MF 022191,Gastrointestinal Agents,Denmark,2010
MF 022191,Dental and Oral Agents,Denmark,2010
MF 024513,Contraceptives,India,2011
MF 025251,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Germany,2011
MF 029179,Analgesics,China,2015
MF 016122,Analgesics,Taiwan,2002
MF 016379,,China,2003
MF 021972,,Italy,2008
MF 019986,,India,2006
MF 026354,Antibacterials,Italy,2012
MF 017731,Antibacterials,India,2004
MF 029383,Antibacterials,India,2015
MF 019109,,United Kingdom,2006
MF 029885,,United States,2016
MF 036303,Antidepressants,India,2021
MF 028841,,India,2015
MF 016327,Gastrointestinal Agents,Germany,2002
MF 025360,Gastrointestinal Agents,Mexico,2011
MF 027155,Dermatological Agents,United States,2015
MF 023963,Analgesics,India,2010
MF 025335,Anxiolytics,India,2011
MF 034937,Gastrointestinal Agents,China,2020
MF 018998,,Italy,2005
MF 034416,,India,2019
MF 034287,Cardiovascular Agents,India,2019
MF 032328,Cardiovascular Agents,China,2017
MF 023118,Dermatological Agents,Italy,2009
MF 026236,Antiparkinson Agents,Israel,2012
MF 032436,Gastrointestinal Agents,India,2018
MF 030811,,India,2016
MF 017004,Antiemetics,China,2003
MF 017004,Cardiovascular Agents,China,2003
MF 017004,Contraceptives,China,2003
MF 017600,Cardiovascular Agents,India,2004
MF 020810,,Taiwan,2007
MF 027527,Antibacterials,Austria,2013
MF 026531,,India,2013
MF 022062,Dermatological Agents,India,2008
MF 021320,Dermatological Agents,India,2008
MF 022507,Electrolytes/Minerals/Metals/Vitamins,India,2009
MF 015874,,United Kingdom,2002
MF 029830,,India,2015
MF 022295,Gastrointestinal Agents,India,2008
MF 031484,,India,2017
MF 035766,,China,2021
MF 032910,,India,2018
MF 033599,,India,2019
MF 031264,,India,2016
MF 036091,Electrolytes/Minerals/Metals/Vitamins,India,2021
MF 027224,Antiemetics,India,2013
MF 027730,,India,2013
MF 028372,,China,2014
MF 028225,,India,2014
MF 027983,,India,2014
MF 033200,Genitourinary Agents,India,2018
MF 027935,Electrolytes/Minerals/Metals/Vitamins,Germany,2014
MF 034800,Antibacterials,India,2020
MF 035923,Antibacterials,China,2021
MF 016518,Antibacterials,India,2003
MF 032431,Antispasticity Agents,India,2018
MF 026505,,Spain,2012
MF 022963,Dermatological Agents,India,2009
MF 015130,Respiratory Tract/Pulmonary Agents,India,2000
MF 033579,Cardiovascular Agents,India,2019
MF 017697,Cardiovascular Agents,India,2004
MF 016872,,United States,2003
MF 017306,,China,2004
MF 022401,Dermatological Agents,India,2008
MF 023219,Antibacterials,India,2009
MF 023219,Blood Products and Modifiers,India,2009
MF 034759,Skeletal Muscle Relaxants,India,2020
MF 026796,Gastrointestinal Agents,India,2013
MF 021310,Antibacterials,India,2008
MF 021310,Gastrointestinal Agents,India,2008
MF 028310,Electrolytes/Minerals/Metals/Vitamins,Taiwan,2014
MF 022471,Analgesics,India,2009
MF 024118,Blood Products and Modifiers,China,2010
MF 024118,Antimycobacterials,China,2010
MF 036148,,India,2021
MF 018024,Cardiovascular Agents,India,2005
MF 035704,,China,2021
MF 034808,,India,2020
MF 025366,,Argentina,2011
MF 036099,,China,2021
MF 019272,Cardiovascular Agents,India,2006
MF 018260,Bipolar Agents,India,2005
MF 027219,Antipsychotics,China,2013
MF 026072,Antidepressants,India,2012
MF 025175,Antipsychotics,China,2011
MF 024333,Antipsychotics,India,2010
MF 022301,Bipolar Agents,India,2008
MF 020147,"Hormonal Agents, Stimulant/Replacement/Modifying (Pituitary)",Israel,2006
MF 029859,Antibacterials,China,2015
MF 021879,Dermatological Agents,India,2008
MF 015774,Ophthalmic Agents,India,2001
MF 015456,Dermatological Agents,Israel,2001
MF 022980,Ophthalmic Agents,India,2009
MF 022236,Dermatological Agents,Italy,2008
MF 022236,Ophthalmic Agents,Italy,2008
MF 034126,Ophthalmic Agents,China,2019
MF 029454,Respiratory Tract/Pulmonary Agents,China,2015
MF 017618,Respiratory Tract/Pulmonary Agents,Israel,2004
MF 021841,Inflammatory Bowel Disease Agents,Spain,2008
MF 033894,Dermatological Agents,Finland,2019
MF 032936,Gastrointestinal Agents,Italy,2018
MF 016628,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Spain,2003
MF 015890,"Genetic, Enzyme, or Protein Disorder: Replacement, Modifiers, Treatment",Singapore,2002
MF 015890,Respiratory Tract/Pulmonary Agents,Singapore,2002
MF 035758,,India,2021
MF 018877,Dermatological Agents,China,2005
MF 024580,Dermatological Agents,China,2011
MF 024580,Gastrointestinal Agents,China,2011
MF 024580,"Hormonal Agents, Stimulant/Replacement/Modifying (Prostaglandins)",China,2011
MF 016306,Sleep Disorder Agents,India,2002
MF 017815,Sleep Disorder Agents,Switzerland,2004
MF 018138,Blood Glucose Regulators,China,2005
MF 027077,Antipsychotics,India,2013
MF 023727,,China,2010
MF 035042,Inflammatory Bowel Disease Agents,China,2020
MF 035042,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2020
MF 019506,Inflammatory Bowel Disease Agents,China,2006
MF 034304,,United States,2020
MF 027663,,India,2014
MF 020557,,India,2007
MF 019177,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Sweden,2006
MF 019177,Dermatological Agents,Sweden,2006
MF 019177,Ophthalmic Agents,Sweden,2006
MF 034900,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2020
MF 034900,Dermatological Agents,China,2020
MF 034900,Analgesics,China,2020
MF 035322,Dental and Oral Agents,India,2020
MF 035322,Gastrointestinal Agents,India,2020
MF 032369,Respiratory Tract/Pulmonary Agents,India,2017
MF 028617,Anesthetics,India,2014
MF 033036,Respiratory Tract/Pulmonary Agents,China,2018
MF 032848,,India,2018
MF 033575,,India,2019
MF 020623,Anti-obesity Agents,France,2007
MF 023142,Anti-addiction/Substance Abuse Treatment Agents,France,2009
MF 023214,Anti-obesity Agents,Switzerland,2009
MF 034468,,India,2020
MF 026281,,India,2012
MF 018319,Analgesics,Taiwan,2005
MF 018057,Ophthalmic Agents,Taiwan,2005
MF 023083,Analgesics,Germany,2009
MF 035977,Analgesics,United States,2021
MF 035046,Antibacterials,India,2020
MF 030832,Electrolytes/Minerals/Metals/Vitamins,United Kingdom,2016
MF 021048,Electrolytes/Minerals/Metals/Vitamins,United Kingdom,2007
MF 019169,Dermatological Agents,Germany,2006
MF 017658,Cardiovascular Agents,India,2004
MF 018165,Cardiovascular Agents,India,2005
MF 026091,,China,2013
MF 019589,Antidepressants,India,2006
MF 033482,,India,2019
MF 024905,,India,2011
MF 017906,Blood Glucose Regulators,India,2004
MF 026882,Blood Glucose Regulators,India,2013
MF 017303,Anticonvulsants,Italy,2004
MF 018207,Anticonvulsants,India,2005
MF 035524,,India,2020
MF 032968,,India,2018
MF 019971,,India,2006
MF 028982,,China,2014
MF 026922,Otic Agents,India,2013
MF 027398,Dermatological Agents,China,2013
MF 032363,,Taiwan,2018
MF 019605,,India,2007
MF 019861,,India,2006
MF 029116,Ophthalmic Agents,China,2015
MF 029116,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2015
MF 028615,,China,2014
MF 022367,Cardiovascular Agents,,2009
MF 033974,,India,2019
MF 035455,,China,2021
MF 036386,Gastrointestinal Agents,United Kingdom,2021
MF 018435,,United States,2005
MF 027350,Ophthalmic Agents,India,2013
MF 018211,,India,2005
MF 021377,,India,2008
MF 030914,,China,2016
MF 027729,,India,2013
MF 030249,,China,2016
MF 021824,,India,2008
MF 025624,,India,2011
MF 022812,Antineoplastics,India,2009
MF 023652,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Italy,2010
MF 026770,,Taiwan,2012
MF 016297,Antifungals,India,2002
MF 016632,Antifungals,India,2003
MF 016406,Immunological Agents,India,2003
MF 018726,,China,2005
MF 020259,,China,2007
MF 031690,,Japan,2017
MF 030668,Antineoplastics,India,2016
MF 022106,,United Kingdom,2008
MF 023369,,Denmark,2010
MF 029809,,United States,2015
MF 027469,,United States,2013
MF 030849,,India,2016
MF 029871,,China,2015
MF 029694,,India,2015
MF 029723,,Republic Of Korea,2015
MF 033874,,Malta,2019
MF 025399,,India,2011
MF 032033,Dermatological Agents,India,2017
MF 034376,Dermatological Agents,India,2019
MF 032395,Dermatological Agents,India,2018
MF 030164,,Jordan,2015
MF 019773,Cardiovascular Agents,United States,2006
MF 015074,Analgesics,India,2000
MF 028896,Dermatological Agents,India,2014
MF 017001,Dermatological Agents,Italy,2003
MF 022358,Dermatological Agents,India,2008
MF 022061,Dermatological Agents,India,2008
MF 032120,Ophthalmic Agents,Malaysia,2017
MF 036152,,India,2021
MF 036283,,India,2021
MF 030207,,Canada,2016
MF 023977,,India,2010
MF 034112,,China,2019
MF 030065,Genitourinary Agents,India,2016
MF 029925,Genitourinary Agents,India,2015
MF 033516,Genitourinary Agents,India,2019
MF 023397,Contraceptives,India,2010
MF 033473,,United States,2019
MF 027774,Genitourinary Agents,India,2013
MF 029577,Genitourinary Agents,India,2015
MF 022159,Dermatological Agents,India,2008
MF 015319,Antineoplastics,Taiwan,2001
MF 016676,Antineoplastics,Taiwan,2003
MF 027567,Antineoplastics,Taiwan,2014
MF 031402,Antivirals,India,2017
MF 019113,Cardiovascular Agents,Canada,2006
MF 020426,Cardiovascular Agents,India,2007
MF 019398,Sleep Disorder Agents,India,2006
MF 035780,Ophthalmic Agents,Italy,2021
MF 035095,Electrolytes/Minerals/Metals/Vitamins,India,2020
MF 034706,Cardiovascular Agents,India,2020
MF 024657,Cardiovascular Agents,Taiwan,2011
MF 021454,Cardiovascular Agents,China,2008
MF 030270,Anticonvulsants,Taiwan,2016
MF 020548,Bipolar Agents,Poland,2007
MF 017231,Anticonvulsants,Spain,2004
MF 034196,Dermatological Agents,India,2019
MF 031899,Anesthetics,India,2017
MF 020038,Dermatological Agents,India,2006
MF 027140,,China,2013
MF 021356,Skeletal Muscle Relaxants,India,2008
MF 022369,Electrolytes/Minerals/Metals/Vitamins,India,2008
MF 018921,Analgesics,India,2005
MF 024205,Anesthetics,Spain,2010
MF 017358,Analgesics,India,2004
MF 018837,Anesthetics,India,2005
MF 017041,,Latvia,2003
MF 031893,Antifungals,India,2017
MF 034418,Anticonvulsants,Poland,2019
MF 023191,Anticonvulsants,India,2009
MF 019202,,India,2006
MF 032334,Ophthalmic Agents,India,2017
MF 032514,Ophthalmic Agents,India,2018
MF 016929,Antineoplastics,India,2003
MF 016929,Central Nervous System Agents,India,2003
MF 022362,Central Nervous System Agents,India,2008
MF 022819,,Canada,2009
MF 023867,,Italy,2010
MF 023078,,Germany,2009
MF 020995,Anesthetics,United States,2007
MF 020448,Anxiolytics,India,2007
MF 020234,,Switzerland,2007
MF 021229,,India,2008
MF 017330,,India,2004
MF 031719,,India,2017
MF 030435,,China,2016
MF 036484,,China,2021
MF 031278,Gastrointestinal Agents,India,2016
MF 035615,Ophthalmic Agents,China,2021
MF 032226,Blood Glucose Regulators,India,2017
MF 021602,Anticonvulsants,China,2008
MF 021393,Cardiovascular Agents,India,2008
MF 028947,Infertility Agents,France,2015
MF 036046,,India,2021
MF 031584,Cardiovascular Agents,India,2017
MF 029215,Antiemetics,India,2015
MF 028062,Skeletal Muscle Relaxants,India,2014
MF 024631,Skeletal Muscle Relaxants,Taiwan,2011
MF 015100,Skeletal Muscle Relaxants,Italy,2000
MF 022018,,Japan,2008
MF 020427,,Italy,2007
MF 015553,Antimycobacterials,India,2001
MF 019416,,India,2006
MF 022744,,India,2009
MF 019516,,India,2006
MF 032874,,India,2018
MF 023620,,India,2010
MF 024087,,India,2010
MF 020415,,India,2007
MF 035568,,Spain,2021
MF 015846,Antimigraine Agents,India,2002
MF 019804,Antimigraine Agents,India,2006
MF 026342,Respiratory Tract/Pulmonary Agents,China,2012
MF 019149,Respiratory Tract/Pulmonary Agents,China,2006
MF 017343,Antimigraine Agents,China,2004
MF 017343,Respiratory Tract/Pulmonary Agents,China,2004
MF 031632,,China,2017
MF 016491,Analgesics,India,2003
MF 016048,Cardiovascular Agents,India,2002
MF 031028,,India,2016
MF 030646,Blood Products and Modifiers,Malta,2016
MF 032781,Blood Products and Modifiers,China,2018
MF 030845,Blood Products and Modifiers,India,2016
MF 035799,Blood Products and Modifiers,India,2021
MF 030440,Blood Products and Modifiers,Taiwan,2016
MF 030619,Blood Products and Modifiers,India,2016
MF 035388,Blood Products and Modifiers,India,2020
MF 018973,Antivirals,India,2005
MF 019063,Central Nervous System Agents,United States,2005
MF 029015,Analgesics,India,2015
MF 030514,,United States,2016
MF 030806,Cardiovascular Agents,India,2016
MF 016768,,Taiwan,2003
MF 015913,Antibacterials,Spain,2002
MF 015913,Dermatological Agents,Spain,2002
MF 017279,Inflammatory Bowel Disease Agents,Mexico,2004
MF 031691,,Slovakia,2017
MF 034499,,France,2020
MF 033386,Central Nervous System Agents,India,2019
MF 033386,Anticonvulsants,India,2019
MF 029521,Anticonvulsants,Spain,2015
MF 024762,Analgesics,India,2011
MF 022228,Dental and Oral Agents,Spain,2008
MF 021196,Dental and Oral Agents,Germany,2007
MF 030497,Antimigraine Agents,Italy,2016
MF 027777,Cardiovascular Agents,China,2013
MF 036012,Cardiovascular Agents,China,2021
MF 026781,Cardiovascular Agents,India,2013
MF 028028,Cardiovascular Agents,India,2014
MF 033462,Dental and Oral Agents,China,2018
MF 033462,Ophthalmic Agents,China,2018
MF 023793,Electrolytes/Minerals/Metals/Vitamins,Switzerland,2010
MF 023793,Gastrointestinal Agents,Switzerland,2010
MF 019915,Otic Agents,United States,2006
MF 015464,Inflammatory Bowel Disease Agents,Taiwan,2001
MF 021524,,India,2008
MF 029500,,China,2015
MF 024685,,India,2011
MF 023051,,China,2009
MF 015289,,Italy,2001
MF 031320,,Jordan,2017
MF 035112,,China,2020
MF 032338,Anti-obesity Agents,India,2018
MF 023978,Anti-obesity Agents,Taiwan,2010
MF 026101,Anti-obesity Agents,India,2012
MF 034236,,China,2019
MF 019532,Electrolytes/Minerals/Metals/Vitamins,Sweden,2006
MF 019532,Respiratory Tract/Pulmonary Agents,Sweden,2006
MF 019532,Ophthalmic Agents,Sweden,2006
MF 019532,Dermatological Agents,Sweden,2006
MF 018318,Inflammatory Bowel Disease Agents,Italy,2005
MF 018318,Dermatological Agents,Italy,2005
MF 034109,,India,2019
MF 034109,Electrolytes/Minerals/Metals/Vitamins,India,2019
MF 034109,Gastrointestinal Agents,India,2019
MF 027180,Otic Agents,India,2013
MF 027754,,United States,2014
MF 025816,,India,2012
MF 024511,Cardiovascular Agents,China,2010
MF 026345,Genitourinary Agents,Mexico,2012
MF 031549,Antineoplastics,India,2017
MF 035109,Antineoplastics,Republic Of Korea,2021
MF 033350,,Taiwan,2019
MF 026085,,India,2012
MF 027161,,India,2013
MF 025669,,India,2012
MF 026593,,China,2012
MF 033899,Antipsychotics,India,2019
MF 027811,Antipsychotics,Italy,2013
MF 033811,,Republic Of Korea,2019
MF 024096,,India,2010
MF 027197,,India,2013
MF 019968,,India,2006
MF 029536,,Japan,2015
MF 036173,,India,2021
MF 022624,Inflammatory Bowel Disease Agents,Spain,2009
MF 033239,,China,2018
MF 035810,"Genetic, Enzyme, or Protein Disorder: Replacement, Modifiers, Treatment",India,2021
MF 027550,Genitourinary Agents,India,2013
MF 030965,Genitourinary Agents,India,2016
MF 025887,Genitourinary Agents,India,2012
MF 027821,,India,2013
MF 022360,,Taiwan,2008
MF 033426,,India,2019
MF 019583,,India,2006
MF 022932,Antimigraine Agents,Italy,2009
MF 026959,,India,2013
MF 026596,,India,2012
MF 026596,Metabolic Bone Disease Agents,India,2012
MF 023162,Electrolytes/Minerals/Metals/Vitamins,China,2009
MF 023162,Gastrointestinal Agents,China,2009
MF 034234,Dermatological Agents,Italy,2019
MF 033218,Dermatological Agents,India,2018
MF 016469,,France,2003
MF 035315,Blood Products and Modifiers,India,2020
MF 029823,Gastrointestinal Agents,China,2015
MF 034185,"Genetic, Enzyme, or Protein Disorder: Replacement, Modifiers, Treatment",India,2019
MF 032292,,India,2017
MF 034802,,Spain,2020
MF 026456,,China,2012
MF 030693,,China,2016
MF 024199,,India,2010
MF 034702,,India,2020
MF 030974,,India,2016
MF 034176,,China,2019
MF 025118,Antivirals,India,2011
MF 035391,,China,2020
MF 032373,Dermatological Agents,India,2017
MF 032119,Dermatological Agents,Spain,2017
MF 016926,Respiratory Tract/Pulmonary Agents,Spain,2003
MF 035461,Antiemetics,China,2020
MF 035461,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2020
MF 024749,Antiparkinson Agents,China,2011
MF 016000,Antiemetics,Jordan,2002
MF 016890,,Republic Of Korea,2003
MF 027725,,China,2013
MF 033684,,India,2019
MF 035239,,India,2020
MF 031895,,India,2017
MF 036077,Anticonvulsants,India,2021
MF 029951,,India,2015
MF 022949,Ophthalmic Agents,Mexico,2009
MF 022949,Antivirals,Mexico,2009
MF 036071,Inflammatory Bowel Disease Agents,China,2021
MF 020203,Otic Agents,China,2007
MF 019890,Antiemetics,Italy,2006
MF 016049,Antipsychotics,India,2002
MF 015849,,India,2002
MF 020545,,India,2007
MF 017135,,India,2004
MF 023208,Antidepressants,Italy,2009
MF 020210,Anti-obesity Agents,India,2007
MF 022064,Anti-obesity Agents,India,2008
MF 027204,Anti-addiction/Substance Abuse Treatment Agents,India,2013
MF 027204,Antidepressants,India,2013
MF 032283,Anesthetics,Brazil,2017
MF 032818,Respiratory Tract/Pulmonary Agents,Spain,2018
MF 020095,Genitourinary Agents,India,2006
MF 018971,Genitourinary Agents,India,2005
MF 026961,Analgesics,Italy,2013
MF 027005,,India,2013
MF 020769,,India,2007
MF 018050,,Canada,2005
MF 031965,Skeletal Muscle Relaxants,India,2017
MF 031965,Analgesics,India,2017
MF 031965,,India,2017
MF 016949,,Italy,2003
MF 030192,Cardiovascular Agents,China,2015
MF 029142,,China,2015
MF 024106,Ophthalmic Agents,India,2010
MF 028389,,Japan,2014
MF 020869,,Taiwan,2007
MF 035147,,India,2020
MF 035519,,India,2020
MF 028357,,India,2014
MF 028581,,India,2014
MF 034572,,India,2020
MF 032909,,India,2018
MF 018043,,Italy,2005
MF 036273,,China,2021
MF 019662,,India,2006
MF 021675,Analgesics,United States,2008
MF 018285,Bipolar Agents,Taiwan,2005
MF 017469,Anticonvulsants,India,2004
MF 034440,Bipolar Agents,India,2019
MF 031437,Bipolar Agents,India,2018
MF 021532,Bipolar Agents,India,2008
MF 035613,,China,2021
MF 028957,Antineoplastics,India,2015
MF 026440,Antineoplastics,India,2012
MF 022902,,Italy,2009
MF 026651,Metabolic Bone Disease Agents,Taiwan,2012
MF 021011,Antineoplastics,India,2007
MF 022688,Metabolic Bone Disease Agents,Taiwan,2009
MF 024185,,China,2010
MF 026310,,China,2012
MF 020108,,India,2007
MF 020344,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Jordan,2007
MF 017141,Ophthalmic Agents,China,2004
MF 026808,,India,2013
MF 019920,Antidepressants,Italy,2006
MF 024098,Antidepressants,India,2010
MF 019957,Antipsychotics,Canada,2006
MF 029991,Bipolar Agents,India,2015
MF 018706,Antidepressants,Italy,2005
MF 034066,Antineoplastics,India,2019
MF 026137,Antineoplastics,Taiwan,2012
MF 023832,,United States,2010
MF 018566,Dermatological Agents,Italy,2005
MF 016176,Central Nervous System Agents,United States,2002
MF 032014,Antipsychotics,India,2018
MF 033554,Antiemetics,India,2019
MF 035698,Antiemetics,Italy,2021
MF 035189,Antiemetics,India,2020
MF 035027,,India,2020
MF 019995,,Italy,2006
MF 023855,,India,2010
MF 015529,,India,2001
MF 015649,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Italy,2001
MF 033444,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Italy,2019
MF 029997,,India,2015
MF 019138,Cardiovascular Agents,Germany,2006
MF 022947,Anesthetics,France,2009
MF 022947,Gastrointestinal Agents,France,2009
MF 021263,,India,2008
MF 021263,Anesthetics,India,2008
MF 019096,,China,2006
MF 024543,Inflammatory Bowel Disease Agents,Italy,2011
MF 017758,Dental and Oral Agents,Italy,2004
MF 034239,"Hormonal Agents, Stimulant/Replacement/Modifying (Prostaglandins)",China,2020
MF 030384,Central Nervous System Agents,India,2016
MF 031027,Central Nervous System Agents,India,2016
MF 030622,Central Nervous System Agents,India,2016
MF 030283,Central Nervous System Agents,India,2016
MF 029485,Central Nervous System Agents,India,2015
MF 028700,Central Nervous System Agents,China,2014
MF 021010,,India,2007
MF 036202,,India,2021
MF 027453,,China,2013
MF 030023,,United States,2015
MF 029678,,India,2015
MF 026879,,India,2013
MF 025898,,India,2012
MF 029490,Respiratory Tract/Pulmonary Agents,India,2015
MF 027505,Respiratory Tract/Pulmonary Agents,China,2013
MF 030799,Respiratory Tract/Pulmonary Agents,China,2016
MF 029195,,France,2015
MF 021474,,India,2008
MF 035401,,Italy,2020
MF 027627,Electrolytes/Minerals/Metals/Vitamins,India,2013
MF 023477,Contraceptives,Italy,2010
MF 023329,Immunological Agents,Germany,2009
MF 031257,,India,2016
MF 028507,Antivirals,China,2014
MF 030730,Antivirals,China,2016
MF 020609,Gastrointestinal Agents,India,2007
MF 027461,Gastrointestinal Agents,India,2014
MF 018910,Inflammatory Bowel Disease Agents,Italy,2005
MF 018910,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Italy,2005
MF 035859,Gastrointestinal Agents,China,2021
MF 030534,Gastrointestinal Agents,India,2017
MF 029338,,Italy,2015
MF 027802,,Switzerland,2013
MF 022587,Respiratory Tract/Pulmonary Agents,Italy,2009
MF 020173,,India,2007
MF 024343,,Israel,2010
MF 031688,,India,2017
MF 031618,,Italy,2017
MF 032609,,United States,2018
MF 021551,Cardiovascular Agents,India,2008
MF 034585,Anticonvulsants,India,2020
MF 036385,,Italy,2021
MF 035135,Gastrointestinal Agents,India,2020
MF 035203,"Genetic, Enzyme, or Protein Disorder: Replacement, Modifiers, Treatment",India,2020
MF 034370,Ophthalmic Agents,Spain,2020
MF 031225,Dermatological Agents,China,2016
MF 028065,Immunological Agents,Canada,2014
MF 017651,Cardiovascular Agents,Taiwan,2004
MF 023735,,Taiwan,2010
MF 023735,Electrolytes/Minerals/Metals/Vitamins,Taiwan,2010
MF 018997,,Netherlands,2005
MF 022134,Antiparasitics,India,2008
MF 026669,,India,2015
MF 026308,Central Nervous System Agents,India,2012
MF 022379,,India,2008
MF 018932,,China,2005
MF 024371,,India,2010
MF 020122,,India,2006
MF 019580,,China,2006
MF 020890,,India,2007
MF 024340,,India,2010
MF 021012,,India,2007
MF 015043,,Italy,2000
MF 031035,,China,2016
MF 032150,,India,2017
MF 024086,,India,2010
MF 032959,,India,2018
MF 016951,,Spain,2003
MF 036107,,India,2021
MF 027792,,India,2013
MF 031073,,Canada,2016
MF 019191,,China,2005
MF 018687,,India,2005
MF 033677,,China,2019
MF 023683,,United States,2010
MF 023762,,China,2010
MF 031655,,Germany,2017
MF 017795,,United States,2004
MF 022763,,India,2009
MF 032896,,Italy,2018
MF 029017,,India,2015
MF 025650,,India,2012
MF 033809,,China,2019
MF 018903,,Spain,2005
