Products,Manufacturer,Manufacturing type,City,Country,Activeness,Volume,Lat,Long
Xkkllpskpbkefwcx,Jxzhaaptbeswhfjy,Upstream,Fairfax,United States,Yes,506.6962588,31.0180982,66.73838381
Vynbghnwknfhaxmd,Xkkllpskpbkefwcx,Downstream,Clifton,United States,Yes,52.86597749,-17.4785357,-8.925998195
Pfpofvtmquosuvon,Vynbghnwknfhaxmd,Upstream,Beijing,China,Yes,233.8619432,13.30025976,80.16298406
Eembozabkhpoytnj,Pfpofvtmquosuvon,Downstream,Mumbai,India,Unconfirmed,564.7622084,7.608436181,-44.92896468
Eukxpiibxbhugfbk,Eembozabkhpoytnj,Upstream,Berlin,Germany,Unconfirmed,920.4144959,-43.55317315,-1.8950985
Xnupaltrpnbceloj,Eukxpiibxbhugfbk,Upstream,Fairfax,United States,Unconfirmed,732.3829598,-8.027467393,49.40568724
Xnxfibltpijrzxyu,Xnupaltrpnbceloj,Downstream,Clifton,United States,Yes,311.1151077,-24.69094401,2.163807317
Ewogjkeftizrkjaw,Xnxfibltpijrzxyu,Upstream,Beijing,China,Yes,658.5894315,-16.3620146,-33.17987552
Uvhsdrdklfabjies,Ewogjkeftizrkjaw,Downstream,Mumbai,India,Unconfirmed,801.5157142,17.68625817,23.7985884
Ssobyfsqmmnbpoee,Uvhsdrdklfabjies,Upstream,Berlin,Germany,Unconfirmed,217.14201,1.289507326,-44.82692892
Rokwvexnrtlfkmuf,Ssobyfsqmmnbpoee,Upstream,Fairfax,United States,Unconfirmed,895.6158557,-24.62969991,72.37060574
Eqqjevrsvetjznmh,Rokwvexnrtlfkmuf,Downstream,Clifton,United States,Yes,240.4077003,5.870224929,-29.33837899
Nmhyjggvcxkklsnp,Eqqjevrsvetjznmh,Upstream,Beijing,China,Unconfirmed,307.8499404,-35.79890004,-54.22243623
Ncqcjndkylogbvle,Nmhyjggvcxkklsnp,Downstream,Mumbai,India,Yes,118.4456202,-26.08673148,0.697680152
Nqjrblduaoqariaj,Ncqcjndkylogbvle,Upstream,Berlin,Germany,Unconfirmed,43.14591624,-28.70353302,9.369778675
Vzlaxmyegugqrrnj,Nqjrblduaoqariaj,Upstream,Fairfax,United States,Unconfirmed,973.3617022,-35.41872301,-41.46337196
Ocyizvyccledhrsp,Vzlaxmyegugqrrnj,Downstream,Clifton,United States,Unconfirmed,905.6019534,-26.26770229,-58.01305295
Dxdajchtrarmfztz,Ocyizvyccledhrsp,Upstream,Beijing,China,Unconfirmed,65.74935146,13.88196808,61.36783951
Umakelnwxymmywvv,Dxdajchtrarmfztz,Downstream,Mumbai,India,Yes,30.21143703,-29.05281408,-2.175554537
Qwcdollqyuhnosnd,Umakelnwxymmywvv,Upstream,Berlin,Germany,Unconfirmed,50.23457239,30.26560132,-50.25275134
Hsjfxntorwmgveok,Qwcdollqyuhnosnd,Upstream,Fairfax,United States,Yes,963.8029912,2.975629969,-67.41165707
Dzewxqnblzdfqrky,Hsjfxntorwmgveok,Downstream,Clifton,United States,Yes,797.3615312,16.20002424,-17.89784034
Fiomnbflzuvbqbtz,Dzewxqnblzdfqrky,Upstream,Beijing,China,Yes,34.81027713,-2.8982626,4.485544923
Eirshbeubdngkkdz,Fiomnbflzuvbqbtz,Downstream,Mumbai,India,Unconfirmed,399.0977023,-19.11281815,-73.9210112
Tziryjqixmvexkoo,Eirshbeubdngkkdz,Upstream,Berlin,Germany,Unconfirmed,545.6437697,5.944420633,-37.79546283
Lqjkflakkezckxui,Tziryjqixmvexkoo,Upstream,Fairfax,United States,Yes,894.0274782,-10.3310753,-52.9874266
Riqqhhnuwurwkggb,Lqjkflakkezckxui,Downstream,Clifton,United States,Unconfirmed,244.8291547,21.60161432,40.01751668
Ffcpzuepcjfillfq,Riqqhhnuwurwkggb,Upstream,Beijing,China,Unconfirmed,176.300771,19.62239624,-58.72539201
Hmkmrwmaxzsumkjk,Ffcpzuepcjfillfq,Downstream,Mumbai,India,Yes,643.9216177,5.188246284,47.23699717
Hvaubkgzbjptnijr,Hmkmrwmaxzsumkjk,Upstream,Berlin,Germany,Yes,478.1912352,0.838581861,-60.12438476
Dukqibentawuudxu,Hvaubkgzbjptnijr,Upstream,Fairfax,United States,Yes,522.7062043,21.8188632,-12.71000513
Tiklnghqadotwcym,Dukqibentawuudxu,Downstream,Clifton,United States,Yes,507.4124886,16.45848189,-43.70569342
Vvrzaqsmuwdcqonl,Tiklnghqadotwcym,Upstream,Beijing,China,Yes,518.5735406,-3.67636947,-52.00368267
Vxsethohpzwqnrlq,Vvrzaqsmuwdcqonl,Downstream,Mumbai,India,Unconfirmed,251.1421096,-26.22923042,-86.76961476
Zcycpgbrcfrdnblc,Vxsethohpzwqnrlq,Upstream,Berlin,Germany,Yes,540.4559529,-23.59344792,-48.46879213
Guxysridaafrayju,Zcycpgbrcfrdnblc,Upstream,Fairfax,United States,Unconfirmed,329.2591718,-1.045901389,-56.37047972
Elttgvztklzaiasl,Guxysridaafrayju,Downstream,Clifton,United States,Unconfirmed,954.0189049,-24.94861498,-11.31778773
Yubjbikcfyxhzrzg,Elttgvztklzaiasl,Upstream,Beijing,China,Yes,821.1263083,36.64307703,-72.82165337
Wrwyfeufridbxdvn,Yubjbikcfyxhzrzg,Downstream,Mumbai,India,Unconfirmed,154.1522835,40.97105428,66.02076693
Gjsgamekihuybrqi,Wrwyfeufridbxdvn,Upstream,Berlin,Germany,Yes,416.0618772,-24.03279375,5.39602812
Bfyeywgrpredeavh,Gjsgamekihuybrqi,Upstream,Fairfax,United States,Yes,928.0208163,19.07125026,-81.47664214
Fzybwzutsuxophgd,Bfyeywgrpredeavh,Downstream,Clifton,United States,Unconfirmed,305.3420434,-38.0670989,40.76768089
Xwmsenkbkalkomqs,Fzybwzutsuxophgd,Upstream,Beijing,China,Yes,427.1465676,21.41372262,40.37513737
Ucdqgerjbohxdgtc,Xwmsenkbkalkomqs,Downstream,Mumbai,India,Yes,490.0735537,5.752098507,41.10312238
Lyrbqzcvcjjuyfvd,Ucdqgerjbohxdgtc,Upstream,Berlin,Germany,Yes,731.1394213,3.593426,24.79787707
Ocqlbjdntohagfaj,Lyrbqzcvcjjuyfvd,Upstream,Fairfax,United States,Yes,132.8902531,-15.48119048,11.15163754
Wfzahsrrvphkhhfb,Ocqlbjdntohagfaj,Downstream,Clifton,United States,Unconfirmed,196.3766765,38.45791994,-79.75678748
Mjeygjwccrhzttml,Wfzahsrrvphkhhfb,Upstream,Beijing,China,Unconfirmed,222.1046568,-2.966895034,82.41718044
Vwzyxloypaefflcv,Mjeygjwccrhzttml,Downstream,Mumbai,India,Unconfirmed,400.1860552,0.165675577,63.12953678
Ruztjtszpwqeiufd,Vwzyxloypaefflcv,Upstream,Berlin,Germany,Yes,690.166936,-20.2819114,-43.81256659
Meveapzvbferalig,Ruztjtszpwqeiufd,Upstream,Fairfax,United States,Yes,99.6363804,-13.17594395,-69.31940128
Ytuifjtaqsrkbjkz,Meveapzvbferalig,Downstream,Clifton,United States,Yes,903.5121687,-32.72774276,21.8491058
Pzbebzwjgdxxbshm,Ytuifjtaqsrkbjkz,Upstream,Beijing,China,Yes,154.551612,-3.8200725,86.96750625
Wrqdizugkkxbrvpk,Pzbebzwjgdxxbshm,Downstream,Mumbai,India,Yes,998.8639594,22.49831305,6.592953953
Tjhkhvhxqkcixtoi,Wrqdizugkkxbrvpk,Upstream,Berlin,Germany,Yes,728.8514405,6.567352134,-81.81822912
Tnkfttowmgkpeqar,Tjhkhvhxqkcixtoi,Upstream,Fairfax,United States,Yes,625.8455469,41.35886092,45.2298902
Sartcrbximkwfuni,Tnkfttowmgkpeqar,Downstream,Clifton,United States,Yes,576.1489488,-11.73603677,-10.66755972
Rlrjswheltcvwrni,Sartcrbximkwfuni,Upstream,Beijing,China,Yes,654.4181765,-3.057055012,-75.46340534
Zyhkgepvawnqcrcn,Rlrjswheltcvwrni,Downstream,Mumbai,India,Unconfirmed,101.171081,-13.85464816,59.41669008
Fzikfhofsaioloof,Zyhkgepvawnqcrcn,Upstream,Berlin,Germany,Yes,419.8206736,-34.30668409,24.03457127
Vgfdjdrpvxtincil,Fzikfhofsaioloof,Upstream,Fairfax,United States,Unconfirmed,564.523466,-18.72674941,48.08890048
Pyzwwyvxunjdmuiu,Vgfdjdrpvxtincil,Downstream,Clifton,United States,Yes,173.8360431,12.95891676,-51.40844068
Zmlnozlqkgxrmqiv,Pyzwwyvxunjdmuiu,Upstream,Beijing,China,Unconfirmed,489.2260898,29.10369613,51.4296974
Wvpcqhrwsatqwlhc,Zmlnozlqkgxrmqiv,Downstream,Mumbai,India,Yes,939.6195955,3.852633944,76.65440574
Qdbeecrnfniliynt,Wvpcqhrwsatqwlhc,Upstream,Berlin,Germany,Unconfirmed,176.2907806,-33.37850413,-75.50730674
Nrqggfhldsozgxup,Qdbeecrnfniliynt,Upstream,Fairfax,United States,Unconfirmed,153.1415196,26.55826298,-80.34749204
Cdbyuqlxihqyyrgm,Nrqggfhldsozgxup,Downstream,Clifton,United States,Yes,631.0044735,10.24332357,63.81033788
Wxzxfokxdkecshih,Cdbyuqlxihqyyrgm,Upstream,Beijing,China,Yes,564.5421081,-6.855336413,-62.03241477
Rtjwbbkgopzvbkho,Wxzxfokxdkecshih,Downstream,Mumbai,India,Unconfirmed,505.6781522,43.34906162,-69.82249625
Ccgxdtmjogzsllhm,Rtjwbbkgopzvbkho,Upstream,Berlin,Germany,Yes,317.1547,1.194269907,63.1970042
Beslblrecdbnrwwy,Ccgxdtmjogzsllhm,Upstream,Fairfax,United States,Yes,505.8665773,-41.35014403,82.26081911
Ecmgqbzpbkcingtb,Beslblrecdbnrwwy,Downstream,Clifton,United States,Unconfirmed,861.5717533,3.449191784,-7.380816691
Qrniewgvckarclbo,Ecmgqbzpbkcingtb,Upstream,Beijing,China,Yes,942.8780478,9.578124249,-31.04543091
Zepilbstszoajuqn,Qrniewgvckarclbo,Downstream,Mumbai,India,Unconfirmed,554.2815211,-10.69214258,44.93842074
Pmvrzfhdpnukbylu,Zepilbstszoajuqn,Upstream,Berlin,Germany,Yes,559.8092953,0.938727756,-50.72166394
Lqwmthrxrbmzumsh,Pmvrzfhdpnukbylu,Upstream,Fairfax,United States,Unconfirmed,447.5816107,-16.59248386,52.95008577
Bqfbeseditntgdew,Lqwmthrxrbmzumsh,Downstream,Clifton,United States,Yes,990.6410683,25.55363058,9.871541335
Qplaamrznifsklgp,Bqfbeseditntgdew,Upstream,Beijing,China,Unconfirmed,740.0848277,-7.535755328,51.56584528
Jyjyzkzjnfltqntu,Qplaamrznifsklgp,Downstream,Mumbai,India,Unconfirmed,65.69431917,-9.72698758,-85.78676733
Rykmhgeggkhyfpsj,Jyjyzkzjnfltqntu,Upstream,Berlin,Germany,Yes,861.6585054,20.80185441,2.007478328
Ydbcajriiadxaibr,Rykmhgeggkhyfpsj,Upstream,Fairfax,United States,Yes,53.26338783,19.86762662,28.95666997
Ultnuxdwbiqbupkh,Ydbcajriiadxaibr,Downstream,Clifton,United States,Yes,921.7411696,-42.95167712,10.24999278
Nrpndvwcbibmvozs,Ultnuxdwbiqbupkh,Upstream,Beijing,China,Unconfirmed,735.1464996,-35.94856499,79.1211429
Enxvebsqwkspmshf,Nrpndvwcbibmvozs,Downstream,Mumbai,India,Yes,79.86940643,16.16959924,38.77659892
Makkriptnpamgbou,Enxvebsqwkspmshf,Upstream,Berlin,Germany,Unconfirmed,950.2432168,40.32545996,-5.801084043
Ifsanlnewrkplgxg,Makkriptnpamgbou,Upstream,Fairfax,United States,Yes,789.4564608,-35.86940387,-25.79436015
Zujiedyjxprumwol,Ifsanlnewrkplgxg,Downstream,Clifton,United States,Yes,735.2577639,-15.73654693,57.86174996
Nmukcxvuqhliznzq,Zujiedyjxprumwol,Upstream,Beijing,China,Yes,440.2810103,24.56386478,-22.22518768
Tbprcnscbtdxytqv,Nmukcxvuqhliznzq,Downstream,Mumbai,India,Unconfirmed,757.2792341,25.4916625,-14.19583096
Qfutbrqkqhaiymxe,Tbprcnscbtdxytqv,Upstream,Berlin,Germany,Yes,786.222184,24.3763792,43.68134754
Agdnctzbyroqoqmz,Qfutbrqkqhaiymxe,Upstream,Fairfax,United States,Yes,472.5997468,2.62989482,-47.97112128
Ulxvrunrmhxaszxb,Agdnctzbyroqoqmz,Downstream,Clifton,United States,Yes,699.2715581,-11.19190664,51.48611522
Gmeyvlqzictkoidj,Ulxvrunrmhxaszxb,Upstream,Beijing,China,Yes,340.3526794,-2.378117257,-5.57226455
Rxoialipzxeorbwn,Gmeyvlqzictkoidj,Downstream,Mumbai,India,Yes,854.770945,32.35782986,43.09560397
Meaxflycxqseeqvf,Rxoialipzxeorbwn,Upstream,Berlin,Germany,Unconfirmed,250.7262269,22.88471422,42.8710963
Lmbalewebzjrwewu,Meaxflycxqseeqvf,Upstream,Fairfax,United States,Unconfirmed,538.7357455,5.694087593,56.20990836
Aaprmtnewdxdfqcz,Lmbalewebzjrwewu,Downstream,Clifton,United States,Yes,878.4551215,-24.21614705,-61.11634865
Tuqsdtodcvbmzgrg,Aaprmtnewdxdfqcz,Upstream,Beijing,China,Yes,886.7052428,-43.24575824,12.05226745
Zyxopdoqrxmsaiwa,Tuqsdtodcvbmzgrg,Downstream,Mumbai,India,Unconfirmed,423.4576492,4.20991064,32.80421524
Hwnnofgrulepyahg,Zyxopdoqrxmsaiwa,Upstream,Berlin,Germany,Yes,928.9225425,-22.9717919,-72.2862246
Anncgipthmqixtdm,Hwnnofgrulepyahg,Upstream,Fairfax,United States,Yes,199.6487836,15.28654103,33.50823102
Hojugrqjrbkbiacw,Anncgipthmqixtdm,Downstream,Clifton,United States,Unconfirmed,694.3195231,-41.6201493,63.50438731
Vjvfjupucaszfojk,Hojugrqjrbkbiacw,Upstream,Beijing,China,Unconfirmed,18.09372954,-23.63584209,-33.09677069
Eikqtgpthtlzbyge,Vjvfjupucaszfojk,Downstream,Mumbai,India,Unconfirmed,792.1641489,-44.24081083,59.70337874
Wnfoabxbbulzeiwq,Eikqtgpthtlzbyge,Upstream,Berlin,Germany,Yes,328.1040704,-17.26514978,84.64255145
Rekakydbsquerpwb,Wnfoabxbbulzeiwq,Upstream,Fairfax,United States,Unconfirmed,578.9689248,-25.72685285,9.661761863
Azcwhajavtlkswiu,Rekakydbsquerpwb,Downstream,Clifton,United States,Yes,719.0629394,31.86110485,33.07165968
Ipaapjfqyblodkyb,Azcwhajavtlkswiu,Upstream,Beijing,China,Unconfirmed,868.8468475,4.016335289,-26.14379222
Cjzbavvgsgjkvihq,Ipaapjfqyblodkyb,Downstream,Mumbai,India,Unconfirmed,980.825217,22.74115784,-43.30976604
Tbavaiwykqhzvjux,Cjzbavvgsgjkvihq,Upstream,Berlin,Germany,Unconfirmed,956.1937511,23.66817736,-64.3703515
Vkmcpbbrwiyryjep,Tbavaiwykqhzvjux,Upstream,Fairfax,United States,Unconfirmed,410.5707705,-4.221331612,-68.8080202
Ohtcqmqecfzzersx,Vkmcpbbrwiyryjep,Downstream,Clifton,United States,Yes,671.2692267,-37.40988884,80.47169
Uabjkotvrmkmavtm,Ohtcqmqecfzzersx,Upstream,Beijing,China,Yes,158.524106,27.64313243,-23.29462829
Rrwxddssqdashzdz,Uabjkotvrmkmavtm,Downstream,Mumbai,India,Yes,898.3845969,-27.36967681,-18.35799207
Abtoonkpobjilymc,Rrwxddssqdashzdz,Upstream,Berlin,Germany,Yes,808.2361307,28.58499415,81.86843829
Dabioawhybcdgtoq,Abtoonkpobjilymc,Upstream,Fairfax,United States,Unconfirmed,82.79022673,-37.91335121,-23.8090989
Fjwxtjcapezwdomo,Dabioawhybcdgtoq,Downstream,Clifton,United States,Unconfirmed,413.7150843,41.6207725,-50.70245789
Eytslohibdnyvcsz,Fjwxtjcapezwdomo,Upstream,Beijing,China,Unconfirmed,282.1756314,-35.45288164,-14.70349681
Gttsyijihtdvysve,Eytslohibdnyvcsz,Downstream,Mumbai,India,Unconfirmed,202.7877096,39.75718269,23.48930199
Pzfvnhvglifxvkbf,Gttsyijihtdvysve,Upstream,Berlin,Germany,Unconfirmed,34.72398689,-14.82380936,-89.02477781
Frglegswcwxjyydk,Pzfvnhvglifxvkbf,Upstream,Fairfax,United States,Yes,578.3390766,18.874333,-85.47402079
Mogowqpbnofweqbr,Frglegswcwxjyydk,Downstream,Clifton,United States,Unconfirmed,770.039695,-20.4808552,-88.7519366
Anpswqwgbxnmnfmo,Mogowqpbnofweqbr,Upstream,Beijing,China,Unconfirmed,67.9582447,-13.29034205,40.37250349
Qbwaqbeezwacxfoz,Anpswqwgbxnmnfmo,Downstream,Mumbai,India,Unconfirmed,11.21668557,-18.82470158,35.85130034
Ptsobmeugpsctxas,Qbwaqbeezwacxfoz,Upstream,Berlin,Germany,Yes,416.5881186,32.78359263,27.39644706
Lrgqiiihfqgbqvvb,Ptsobmeugpsctxas,Upstream,Fairfax,United States,Unconfirmed,968.2190796,-23.55535255,32.10146982
Jlipbeyuysflbvdy,Lrgqiiihfqgbqvvb,Downstream,Clifton,United States,Unconfirmed,432.3307629,-32.79260137,34.81772926
Znaukocfbfvfdceo,Jlipbeyuysflbvdy,Upstream,Beijing,China,Unconfirmed,641.6721771,6.692164064,-75.1646155
Rmqvmydenwokoswq,Znaukocfbfvfdceo,Downstream,Mumbai,India,Yes,557.2084995,5.042186349,-55.03266389
Uvtivdskztfufinh,Rmqvmydenwokoswq,Upstream,Berlin,Germany,Yes,783.3450262,-14.44760865,-79.55561206
Xyztnrikkduojdvt,Uvtivdskztfufinh,Upstream,Fairfax,United States,Yes,973.1278402,-31.08768543,-19.13363173
Dbxufxyqxitbjqpj,Xyztnrikkduojdvt,Downstream,Clifton,United States,Yes,516.7880447,16.58487443,-80.08565055
Zkafyjbecapnldrk,Dbxufxyqxitbjqpj,Upstream,Beijing,China,Unconfirmed,524.7414112,15.54842001,-10.78798145
Egeafsqnxaeigwlj,Zkafyjbecapnldrk,Downstream,Mumbai,India,Yes,210.3291993,22.75140405,54.75458495
Uzgqxyrmwwbzrhmy,Egeafsqnxaeigwlj,Upstream,Berlin,Germany,Unconfirmed,916.2337534,-28.96767256,52.75823001
Jppcdegcditvovmb,Uzgqxyrmwwbzrhmy,Upstream,Fairfax,United States,Yes,189.569437,-9.750372058,85.85674223
Ijqtkspxhobyylin,Jppcdegcditvovmb,Downstream,Clifton,United States,Yes,949.0320425,-40.31118655,-2.464314593
Oasjrnvxmixrkofg,Ijqtkspxhobyylin,Upstream,Beijing,China,Unconfirmed,657.261414,28.43905903,-64.55352432
Wbxqvnlwbffgzgzd,Oasjrnvxmixrkofg,Downstream,Mumbai,India,Yes,53.96544215,-41.41544704,-2.359317306
Ccwlqaasspfqexbb,Wbxqvnlwbffgzgzd,Upstream,Berlin,Germany,Yes,374.3106819,-23.57031617,81.78225692
Exsnxklgtrjtjwja,Ccwlqaasspfqexbb,Upstream,Fairfax,United States,Unconfirmed,595.8071238,-3.768706693,-1.232930829
Upgemhourrcmzlvp,Exsnxklgtrjtjwja,Downstream,Clifton,United States,Unconfirmed,161.3757344,44.42835479,15.08892875
Ffvdbyuouikcbgpc,Upgemhourrcmzlvp,Upstream,Beijing,China,Unconfirmed,746.8706356,-24.84815114,-21.10866551
Xbqrtyvtamyhmaex,Ffvdbyuouikcbgpc,Downstream,Mumbai,India,Yes,317.885422,-0.174546952,-57.86573498
Pthpigdpbqhbiybk,Xbqrtyvtamyhmaex,Upstream,Berlin,Germany,Yes,94.03733849,-25.2450683,-5.614188976
Vqmqpdmsefrtwpoo,Pthpigdpbqhbiybk,Upstream,Fairfax,United States,Unconfirmed,233.0157824,-43.06891682,-33.6345826
Fchxzcgvqmgglzuq,Vqmqpdmsefrtwpoo,Downstream,Clifton,United States,Yes,690.626328,30.79554478,78.18293879
Uvwslkunkxkpbtoq,Fchxzcgvqmgglzuq,Upstream,Beijing,China,Unconfirmed,41.41966602,38.10420281,16.3185713
Isdbfrwbjgnitsdu,Uvwslkunkxkpbtoq,Downstream,Mumbai,India,Yes,913.7194083,-41.13752211,41.19291288
Aoxgxggxhrycnnzo,Isdbfrwbjgnitsdu,Upstream,Berlin,Germany,Yes,781.3186533,33.14264463,66.24618459
Xbqhwzkrwldrhnfx,Aoxgxggxhrycnnzo,Upstream,Fairfax,United States,Unconfirmed,106.5679745,19.87257981,14.90767228
Tkhwofizljlyipbk,Xbqhwzkrwldrhnfx,Downstream,Clifton,United States,Unconfirmed,83.67523642,27.60503611,-79.84255517
Sccvcyjjucftikbm,Tkhwofizljlyipbk,Upstream,Beijing,China,Unconfirmed,831.4823293,-43.06745008,1.39235378
Kracslrhjsdwwvuy,Sccvcyjjucftikbm,Downstream,Mumbai,India,Yes,923.6524433,16.73033315,-40.88201092
Qphcfzzphyuhhpzf,Kracslrhjsdwwvuy,Upstream,Berlin,Germany,Unconfirmed,248.0655987,-19.3293678,25.37074051
Qkkuwvjbfmzfxpqj,Qphcfzzphyuhhpzf,Upstream,Fairfax,United States,Unconfirmed,171.7786835,7.527689936,55.37082992
Icpyoqlqrstoglom,Qkkuwvjbfmzfxpqj,Downstream,Clifton,United States,Unconfirmed,815.6268994,-40.3823917,43.57194043
Ireadxndyvkknyjo,Icpyoqlqrstoglom,Upstream,Beijing,China,Unconfirmed,811.8895529,12.06917446,-15.80739599
Cslzibwioszjcxmb,Ireadxndyvkknyjo,Downstream,Mumbai,India,Unconfirmed,63.67402603,-36.79872712,-34.26870892
Kwmimjhxrlohjxen,Cslzibwioszjcxmb,Upstream,Berlin,Germany,Unconfirmed,123.0868866,-0.603538464,-22.10940784
Ztgjtpudftccamry,Kwmimjhxrlohjxen,Upstream,Fairfax,United States,Yes,986.3511577,30.14191582,-43.27906763
Bcvssjmdbaaodaoh,Ztgjtpudftccamry,Downstream,Clifton,United States,Unconfirmed,968.5967861,-35.01513063,1.992986371
Qejjvmzcrazlkvdm,Bcvssjmdbaaodaoh,Upstream,Beijing,China,Unconfirmed,157.1611581,-21.29358093,83.97424927
Zeerczyqtqfgaatg,Qejjvmzcrazlkvdm,Downstream,Mumbai,India,Yes,669.531569,20.42582254,-60.44739793
Gqrolsqnsctjwvll,Zeerczyqtqfgaatg,Upstream,Berlin,Germany,Yes,939.8443097,-1.785400587,-45.92571419
Qjipyutkcnxojxkx,Gqrolsqnsctjwvll,Upstream,Fairfax,United States,Unconfirmed,330.402114,-15.14063702,-58.36218288
Winetydzemvrjlkj,Qjipyutkcnxojxkx,Downstream,Clifton,United States,Unconfirmed,996.8252909,-18.77818498,17.71086318
Rexcwihslgicaufh,Winetydzemvrjlkj,Upstream,Beijing,China,Yes,200.6277849,-44.12415006,-70.30348163
Etcvrakijbpxtadb,Rexcwihslgicaufh,Downstream,Mumbai,India,Unconfirmed,449.8108021,-35.70225996,48.69527937
Vhbwhjqzwzwwxbnp,Etcvrakijbpxtadb,Upstream,Berlin,Germany,Unconfirmed,391.7466404,-9.392605902,8.64782109
Inibqlvgnhnebywo,Vhbwhjqzwzwwxbnp,Upstream,Fairfax,United States,Unconfirmed,887.9927791,20.25066529,-10.84947801
Cisewxzighzpvbed,Inibqlvgnhnebywo,Downstream,Clifton,United States,Yes,148.6592088,28.88083547,-39.13335399
Yanysurcrflkzunw,Cisewxzighzpvbed,Upstream,Beijing,China,Unconfirmed,926.5700602,8.518326072,37.72920734
Olmynwszwebnktxa,Yanysurcrflkzunw,Downstream,Mumbai,India,Yes,56.5197623,-24.35471577,-29.54917751
Diadtxtwiapvadbg,Olmynwszwebnktxa,Upstream,Berlin,Germany,Unconfirmed,251.2558867,-32.19481938,53.95054421
Ziegqfjsieysffqp,Diadtxtwiapvadbg,Upstream,Fairfax,United States,Unconfirmed,940.1816942,-6.313944767,9.595148298
Shmabhlqomjjknub,Ziegqfjsieysffqp,Downstream,Clifton,United States,Yes,737.1576795,8.315749423,-33.13927481
Wdgpjicxcxlikoft,Shmabhlqomjjknub,Upstream,Beijing,China,Yes,200.6732923,-26.6602372,15.97169775
Pssntqqyomuajrbi,Wdgpjicxcxlikoft,Downstream,Mumbai,India,Unconfirmed,776.0526271,23.50942071,24.00733817
Aaetpafkmlclahoa,Pssntqqyomuajrbi,Upstream,Berlin,Germany,Yes,405.1754799,-13.85021838,35.72794824
Acphlckmpvtepfwk,Aaetpafkmlclahoa,Upstream,Fairfax,United States,Unconfirmed,151.7577598,-20.01289172,69.15243847
Zxaodbxszzgynhtx,Acphlckmpvtepfwk,Downstream,Clifton,United States,Unconfirmed,746.3905352,37.18748041,86.117817
Nmpmchcjhwloyxmz,Zxaodbxszzgynhtx,Upstream,Beijing,China,Unconfirmed,779.9843933,-33.18895925,-15.2763207
Lfoifimsjzolafcg,Nmpmchcjhwloyxmz,Downstream,Mumbai,India,Yes,11.51450284,15.56961319,-79.33933297
Tfwquxkzzlcwjbwl,Lfoifimsjzolafcg,Upstream,Berlin,Germany,Unconfirmed,712.2522103,-18.54001996,-13.18619387
Xrlvdwxvdmttcngh,Tfwquxkzzlcwjbwl,Upstream,Fairfax,United States,Yes,414.3442738,-11.54648894,-42.75203353
Vptmkgwgbgmncvbj,Xrlvdwxvdmttcngh,Downstream,Clifton,United States,Unconfirmed,821.4194735,-32.61810933,32.99354784
Cfkpaymjvbjnapzy,Vptmkgwgbgmncvbj,Upstream,Beijing,China,Unconfirmed,663.0671008,15.27424199,8.974104005
Avwbizbkwmnfqtig,Cfkpaymjvbjnapzy,Downstream,Mumbai,India,Unconfirmed,38.57615014,-12.80840015,-28.29023485
Hqdrmcawfpfpnexu,Avwbizbkwmnfqtig,Upstream,Berlin,Germany,Unconfirmed,689.4245899,-26.21950955,17.04726601
Fbcihiqunuopaqlb,Hqdrmcawfpfpnexu,Upstream,Fairfax,United States,Yes,287.9605359,19.85603543,31.43002249
Eofuxohuzybypfxs,Fbcihiqunuopaqlb,Downstream,Clifton,United States,Yes,549.2703698,42.91698794,71.38526821
Iwdynxmtyomprxvc,Eofuxohuzybypfxs,Upstream,Beijing,China,Yes,715.7025378,-4.126130877,-26.28177318
Gdmobjqcqmwoigbd,Iwdynxmtyomprxvc,Downstream,Mumbai,India,Unconfirmed,390.2610186,-28.06947008,50.1671879
Khbudqgkcdrjkmmp,Gdmobjqcqmwoigbd,Upstream,Berlin,Germany,Unconfirmed,439.1599219,34.06324256,-35.17574717
Trmooskhectunwut,Khbudqgkcdrjkmmp,Upstream,Fairfax,United States,Unconfirmed,755.7455198,-8.001506463,88.82350399
Cbigshguruzluzzs,Trmooskhectunwut,Downstream,Clifton,United States,Unconfirmed,305.9106423,-44.37597243,-49.63866816
Iasumimfhmglkgoc,Cbigshguruzluzzs,Upstream,Beijing,China,Yes,756.1181721,22.85156616,18.73867922
Ppeouoxhhscddqth,Iasumimfhmglkgoc,Downstream,Mumbai,India,Yes,631.2174769,-37.13247459,-15.1446163
Eiowvtuvjhoyenya,Ppeouoxhhscddqth,Upstream,Berlin,Germany,Unconfirmed,789.5391343,-14.5028441,32.69164129
Cojphtrpueishczl,Eiowvtuvjhoyenya,Upstream,Fairfax,United States,Unconfirmed,780.0824005,5.210951132,-37.27326966
Iibssjjhemufhrkc,Cojphtrpueishczl,Downstream,Clifton,United States,Yes,999.9495169,9.166880891,0.399020377
Dileasxevnmkylsa,Iibssjjhemufhrkc,Upstream,Beijing,China,Yes,314.2394205,-44.54379614,47.31028133
Tteimcxruqbhdkai,Dileasxevnmkylsa,Downstream,Mumbai,India,Unconfirmed,42.47999004,6.007716599,-29.77347156
Daxlraikbimmsxlj,Tteimcxruqbhdkai,Upstream,Berlin,Germany,Unconfirmed,328.8979833,-31.27223761,-58.11013334
Uzujethhmfjmwayk,Daxlraikbimmsxlj,Upstream,Fairfax,United States,Yes,296.756487,-6.773341331,66.41142068
